"","text","created"
"52","The negotiations with China have already started. Unless extended, they will end 90 days from the date of our wonde… https://t.co/iYphE2px2L",2018-12-04
"53","Looking forward to being with the wonderful Bush family at Blair House today. The former First Lady will be coming… https://t.co/coawARfXIe",2018-12-04
"54","#Remembering41 https://t.co/9xbFYlZzNs",2018-12-04
"55","Congratulations to newly inaugurated Mexican President @lopezobrador_. He had a tremendous political victory with t… https://t.co/UVwbELyLsW",2018-12-03
"56","Looking forward to being with the Bush Family to pay my respects to President George H.W. Bush.",2018-12-03
"57","Bob Mueller (who is a much different man than people think) and his out of control band of Angry Democrats, don’t w… https://t.co/walb5PaCq0",2018-12-03
"58","“I will never testify against Trump.” This statement was recently made by Roger Stone, essentially stating that he… https://t.co/aOL1xK9cp8",2018-12-03
"59","....his wife and father-in-law (who has the money?) off Scott Free. He lied for this outcome and should, in my opin… https://t.co/vmkSYqqFTO",2018-12-03
"60","“Michael Cohen asks judge for no Prison Time.” You mean he can do all of the TERRIBLE, unrelated to Trump, things h… https://t.co/6ayRgbMeLe",2018-12-03
"61","We would save Billions of Dollars if the Democrats would give us the votes to build the Wall. Either way, people wi… https://t.co/cgrhkCB02D",2018-12-03
"62","I am certain that, at some time in the future, President Xi and I, together with President Putin of Russia, will st… https://t.co/oecc9gzKNo",2018-12-03
"63","President Xi and I have a very strong and personal relationship. He and I are the only two people that can bring ab… https://t.co/eyJGyAO5qH",2018-12-03
"64","Farmers will be a a very BIG and FAST beneficiary of our deal with China. They intend to start purchasing agricultu… https://t.co/BCWoTM0M5i",2018-12-03
"65","My meeting in Argentina with President Xi of China was an extraordinary one. Relations with China have taken a BIG… https://t.co/0JYAHXe2HJ",2018-12-03
"66","China has agreed to reduce and remove tariffs on cars coming into China from the U.S. Currently the tariff is 40%.",2018-12-03
"67","This week, Jews around the world will celebrate the miracles of Hanukkah. @FLOTUS Melania and I send our very best… https://t.co/R0pF2POzL6",2018-12-02
"68","....However, out of respect for the Bush Family and former President George H.W. Bush we will wait until after the… https://t.co/Z7aRSdNxgY",2018-12-01
"69","I was very much looking forward to having a press conference just prior to leaving Argentina because we have had su… https://t.co/ckH1IDoCGS",2018-12-01
"70","President George H.W. Bush led a long, successful and beautiful life.  Whenever I was with him I saw his absolute j… https://t.co/NV8tJkugEj",2018-12-01
"71","Statement from President Donald J. Trump and First Lady Melania Trump on the Passing of Former President George H.W… https://t.co/LZtevLpGvY",2018-12-01
"72","Watch @seanhannity on @FoxNews NOW. Enjoy!",2018-12-01
"73","Great day at the #G20Summit in Buenos Aires, Argentina. Thank you! https://t.co/4IHvUdOygc",2018-12-01
"74","Great reviews on the USMCA - sooo much better than NAFTA!",2018-11-30
"75","To the Great people of Alaska. You have been hit hard by a “big one.” Please follow the directions of the highly tr… https://t.co/YJsFjPWMVi",2018-11-30
"76","Just signed one of the most important, and largest, Trade Deals in U.S. and World History. The United States, Mexic… https://t.co/uKsZ9wYANa",2018-11-30
"77","#USMCA🇺🇸🇲🇽🇨🇦 
https://t.co/7CYsYBYbd1",2018-11-30
"78","....Lightly looked at doing a building somewhere in Russia. Put up zero money, zero guarantees and didn’t do the project. Witch Hunt!",2018-11-30
